"#","","Zip Code","Stat","Tower Name","Address","Unit Number","Current Price","Approx Liv Area","Beds Total","Baths Total","Actual Close Date","Total Monthly CIC","DOM","Sold Term","List Agent Full Name","List Agent ID","Selling Agent Full Name","Selling/Showing Agent ID"
"501","2501752","89145","S","ONE QUEENSRIDGE PLACE","9101 Alta DR","11","$780,000","1,990","2","3","01/18/2024","$2,758.00","170","Cash","Joseph D. Dehart","228972","Brennen M. Rudack","235846"
"501","2548524","89109","S","TRUMP INTERNATIONAL HOTEL LAS VEGAS","2000 North Fashion Show DR","2704","$266,000","533","0","1","01/18/2024","$625.25","3","Cash","Rebecca R. Hinson","246777","Rebecca R. Hinson","246777"
"501","2545413","89103","S","PALMS PLACE","4381 West Flamingo RD","26312","$315,000","615","0","1","01/18/2024","$552.00","11","Cash","Ellie Shefler","094576","Patrick Adams","235433"
"501","2553197","89145","S","ONE QUEENSRIDGE PLACE","9101 Alta DR","306","$879,000","2,137","2","3","01/17/2024","$3,093.00","0","Cash","Randall J. Char","228885","Randall J. Char","228885"
"501","2548776","89109","S","REGENCY TOWERS","3111 Bel Air Dr DR","15H","$575,000","2,208","2","3","01/17/2024","$1,497.00","7","CONV","David Ezra","201275","Kainan Pickle","254947"
"501","2533576","89109","S","TURNBERRY PLACE","2747 Paradise RD","1901","$915,000","2,805","3","3","01/17/2024","$1,427.00","95","Cash","Fred Trujillo","210524","Fred Trujillo","210524"
"501","2541912","89102","S","ALLURE","200 West Sahara AVE","3001","$490,000","1,563","2","2","01/16/2024","$985.00","34","CONV","Joseph Kraemer","213007","Cynthia L. Ward","093439"
"501","2539246","89109","S","SKY LAS VEGAS","2700 Las Vegas BLVD","2310","$430,500","1,248","2","2","01/12/2024","$794.00","40","Auction","Amy T. Firstman","235262","Michelle H. Tsu","226763"
"501","2495397","89109","S","TURNBERRY PLACE","2877 Paradise RD","2704","$1,900,000","4,103","3","4","01/12/2024","$1,805.00","215","Cash","Keith Lynam","515","Keith Lynam","515"
"501","2547922","89123","S","BOCARATON","2455 West Serene AVE","603","$195,000","586","1","1","01/12/2024","$471.00","0","Cash","Luke J. Lauer","236453","Blaise Dvorsky","235702"
"501","2550091","89101","S","JUHL","353 East BONNEVILLE AVE","309","$285,000","884","1","1","01/11/2024","$656.00","0","CONV","Taya Welte","237466","Nichole L. Teter","224473"
"501","2532500","89109","S","TRUMP INTERNATIONAL HOTEL LAS VEGAS","2000 North Fashion Show DR","3825","$555,000","974","1","2","01/11/2024","$976.00","32","CONV","L Howard Bobson","095521","Nicole Milner Breen","094075"
"501","2525673","89103","S","PALMS PLACE","4381 West Flamingo RD","52302","$540,000","1,220","1","2","01/10/2024","$1,095.00","18","CONV","Walter Purdy","251258","Jillian M. Batchelor","206719"
"501","2523628","89158","S","VEER CITYCENTER","3726 South Las Vegas BLVD","1205","$620,000","841","1","1","01/10/2024","$885.00","106","Cash","Mina McCormick","246087","Sylvia Sheng","217991"
"501","2543481","89123","S","BOCARATON","2405 West Serene AVE","843","$350,000","1,196","2","3","01/10/2024","$667.00","29","Cash","Niko Xhaholli","244230","Xander Shaw","235392"
"501","2525980","89103","S","THE MARTIN","4471 Dean Martin DR","2407","$719,000","1,437","2","2","01/09/2024","$1,011.00","68","Cash","William J. Alt","207579","Michele Sullivan","096672"
"501","2531759","89109","S","SKY LAS VEGAS","2700 South Las Vegas BLVD","2802","$700,000","1,781","3","4","01/09/2024","$1,132.00","37","Cash","Brian Burns","216983","Ashley Harris","247778"
"501","2545192","89103","S","PALMS PLACE","4381 West Flamingo RD","37322","$525,000","1,220","1","2","01/09/2024","$1,095.00","0","Cash","Ellie Shefler","094576","Ying Liu","233075"
"501","2502887","89158","S","WALDORF ASTORIA","3750 South LAS VEGAS BL BLVD","4204","$5,000,000","2,756","2","3","01/08/2024","$3,328.00","166","Other","Diane M Varney","210264","Ahmed Khan","245091"
"501","2541907","89109","S","SKY LAS VEGAS","2700 Las Vegas BLVD","3309","$690,000","1,766","2","3","01/05/2024","$1,025.00","15","CONV","Anthony J. Phillips","226502","Ramin M. Shoar","226615"
"501","2534924","89011","S","LUNAD","29 Montelago BLVD","320","$415,000","985","2","2","01/05/2024","$1,065.00","63","Cash","Jamela L. Christian","241913","Nicole Terry","233793"
"501","2520711","89109","S","TURNBERRY TOWERS","322 Karen AVE","501","$500,000","1,405","2","2","01/04/2024","$804.00","117","Cash","Rachael Tharp","242165","A William Zinsser","099885"
"501","2539872","89158","S","VEER CITYCENTER","3726 Las Vegas BLVD","3306","$1,550,000","1,845","2","3","01/03/2024","$1,646.00","44","Cash","Dylan Acosta","235252","Dylan Acosta","235252"
"501","2530811","89103","S","PANORAMA TOWERS","4525 Dean Martin DR","3207","$900,000","1,618","2","3","01/02/2024","$1,456.00","71","Cash","Justin Bezanski","241209","Ramonchito G. Montehermoso","209907"
"501","2542975","89103","S","PALMS PLACE","4381 West Flamingo RD","17312","$315,000","615","0","1","01/02/2024","$562.00","7","Other","Jillian M. Batchelor","206719","Patrick J. Goungo III","231288"
"501","2536528","89158","S","VDARA HOTEL AND SPA","2600 West Harmon AVE","7003","$590,000","567","0","1","01/02/2024","$1,028.00","42","CONV","Fangsu Wei","210150","Mariel Pamintuan-Esguerra","240421"
"501","2533376","89109","S","SKY LAS VEGAS","2700 Las Vegas BLVD","2806","$348,000","778","1","1","01/02/2024","$495.00","50","FHA","Miaofen Hsu","233340","Luana Green","251764"
"501","2534922","89158","S","WALDORF ASTORIA","3750 South Las Vegas BLVD","4306","$9,500,000","3,922","3","4","01/02/2024","$4,459.00","48","Cash","Stefanie Barela","244915","Frank Napoli II","096832"
"501","2627733","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","1007","$1,299,000","2,271","2","3","","$3,769.00","58","","Carla Redmond","202513","",""
"501","2597822","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","12","$935,000","2,046","2","3","","$3,768.00","171","","Randall J. Char","228885","",""
"501","2617265","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","1202","$2,895,000","3,856","3","4","","$3,769.00","95","","Anthony Spiegel","240924","",""
"501","2641291","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","1406","$1,150,000","2,137","2","3","","$3,856.00","3","","Randall J. Char","228885","",""
"501","2632411","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","1501","$3,950,000","5,844","3","4","","$3,978.00","29","","Randall J. Char","228885","",""
"501","2616834","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","16","$950,000","2,014","2","3","","$3,768.00","87","","Randall J. Char","228885","",""
"501","2456295","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","204","$2,200,000","3,100","3","4","","$2,758.00","760","","Merri Perry","220777","",""
"501","2596310","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","502","$2,500,000","3,856","3","4","","$3,093.00","175","","Marianne Yoffee","245510","",""
"501","2592018","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","507","$1,199,000","2,271","2","3","","$3,093.00","193","","Greg Clutters","227259","",""
"501","2618990","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","902","$2,800,000","3,856","3","4","","$3,768.00","95","","Laura D. Hauck","225389","",""
"501","2574386","89145","A-ER","ONE QUEENSRIDGE PLACE","9101 Alta DR","903","$1,499,000","2,638","2","3","","$3,094.00","258","","Gavin Ernstone","006762","",""
"501","2616810","89145","A-ER","ONE QUEENSRIDGE PLACE","9103 Alta DR","102","$2,500,000","2,751","3","4","","$3,093.00","103","","Zar A. Zanganeh","209040","",""
"501","2635796","89145","A-ER","ONE QUEENSRIDGE PLACE","9103 Alta DR","1101","$3,600,000","4,792","4","6","","$3,978.00","27","","Zar A. Zanganeh","209040","",""
"501","2612927","89145","A-ER","ONE QUEENSRIDGE PLACE","9103 Alta DR","1502","$4,150,000","5,635","4","5","","$3,978.00","117","","Zar A. Zanganeh","209040","",""
"501","2630571","89145","A-ER","ONE QUEENSRIDGE PLACE","9103 Alta DR","401","$3,195,000","4,826","4","6","","$3,769.00","49","","Anthony Spiegel","240924","",""
"501","2638618","89145","A-ER","ONE QUEENSRIDGE PLACE","9103 Alta Drive DR","407","$1,025,000","2,271","2","3","","$3,768.00","18","","Linda Jo Brown","012246","",""
"501","2632852","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","10H","$620,000","1,856","2","3","","$1,329.00","39","","Christina V. Kinney","220819","",""
"501","2629576","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","11H","$610,000","1,856","2","3","","$1,329.00","44","","Mark M. Minelli","213314","",""
"501","2581094","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","12C","$565,000","1,856","2","3","","$1,330.00","232","","Natalie Cunningham","238825","",""
"501","2630722","89109","A-ER","REGENCY TOWERS","3111 Bel Air DR","12E","$563,000","1,856","2","3","","$1,330.00","39","","Robin I. Smith","203805","",""
